,Код,Название,url,text
255,ВАК 05.05.04,"Дорожные, строительные и подъемно- транспортные машины",https://teacode.com/online/vak/p05-05-04.html,"Шифр специальности:
05.05.04 Дорожные, строительные и подъемно-транспортные машины
Формула специальности:
Дорожные, строительные и подъемно-транспортные машины – область науки и техники, изучающая связь и закономерности процессов взаимодействия дорожных, строительных и подъемно-транспортных машин с рабочими средами и объектами, обосновывающие расчет, проектирование, режимы испытаний и технической эксплуатации машин, их комплектов и систем при производстве строительно-монтажных и подъемно-транспортных работ. Изучение связей, свойств объектов воздействия, кинематических, силовых, энергетических, экономических и других параметров машин и закономерностей их рабочих процессов осуществляется с целью решения задач по созданию новых и совершенствованию существующих дорожных, строительных и подъемно-транспортных машин, обладающих повышенной производительностью и большей долговечностью, обеспечивающих лучшее качество выполнения строительно-монтажных, дорожных и подъемно-транспортных работ, снижение затрат на их производство, большие технологические возможности, лучшие условия труда и т.п.
Области исследований:
Методы оптимизационного синтеза машин, их функциональных механизмов, комплектов и систем.Методы моделирования, прогнозирования, исследований, расчета технологических параметров, проектирования, испытаний машин, комплектов и систем, исходя из условий их применения.Совершенствование технологических процессов на основе новых технических решений конструкций машин.Методы управления машинами, машинными комплектами и системами и контроля качества технологических процессов, выполняемых машинами.Методы повышения долговечности, надежности и безопасности эксплуатации машин, машинных комплектов и систем.
Смежные специальности:
01.02.01 – Теоретическая механика
01.02.04 – Механика деформируемого твердого тела
01.02.06 – Динамика, прочность машин, приборов и аппаратуры
05.02.02 – Машиноведение, системы приводов и детали машин
05.02.04 – Трение и износ в машинах
05.02.11 – Методы контроля и диагностики в машиностроении
05.02.18 – Теория механизмов и машин 
05.13.06 – Автоматизация и управление технологическими процессами и производствами (по отраслям)
05.13.12 – Системы автоматизации проектирования (по отраслям)
05.23.08 – Технология и организация строительства
05.23.11 – Проектирование и строительство дорог, метрополитенов, аэродромов, мостов и транспортных тоннелей
Родственные специальности:
05.05.03 – Колесные и гусеничные малины
05.05.06 – Горные машины
05.20.01 – Технология и средства механизации сельского хозяйства
05.02.05 – Роботы, мехатроника и робототехнические системы
Примечание:
Разграничение между специальностью 05.05.04 и родственными и смежными специальностями проводится по направленности и объему исследований. Исследования по родственным смежным специальностям носят подчиненный, вспомогательный характер.
Отрасль наук:
технические науки "
256,ВАК 05.05.06,Горные машины,https://teacode.com/online/vak/p05-05-06.html,"Шифр специальности:
05.05.06 Горные машины
Формула специальности:
Горные машины – область науки и техники, включающая исследования, разработку и эксплуатацию машин и оборудования (агрегатов и аппаратов) основных и вспомогательных производств в отраслях горного дела и занимающаяся изучением связей и закономерностей с целью создания новых и совершенствования существующих горных машин и оборудования и их элементов, обладающих повышенной производительностью (эффективностью), долговечностью (надежностью), безопасностью и экологичностью.
Области исследований:
Изучение закономерностей внешних и внутренних рабочих процессов в горных машинах, комплексах и агрегатах с учетом внешней среды.Изучение и оптимизация динамических процессов в горных машинах.Обоснование и оптимизация параметров и режимов работы машин и оборудования и их элементов.Обоснование и выбор конструктивных и схемных решений машин и оборудования во взаимосвязи с горнотехническими условиями, эргономическими и экологическими требованиями.Повышение долговечности и надежности горных машин и оборудования.Разработка и совершенствование технологических процессов с целью обеспечения высокого качества горных машин на стадии проектирования, изготовления и эксплуатации с учетом специфики работы на горных предприятиях.Разработка научных основ создания средств комплексной механизации производственных процессов с применением систем горных машин и оборудования.
Смежные специальности:
01.02.06 – Динамика, прочность машин, приборов и аппаратуры
05.02.04 – Трение и износ в машинах
05.02.07 – Технология и оборудование механической и физико-технической обработки
05.05.04 – Дорожные, строительные и подъемно-транспортные машины
05.09.03 – Электротехнические комплексы и системы
05.13.06 – Автоматизация и управление технологическими процессами (в горной промышленности)
25.00.14 – Технология и техника геологоразведочных работ
25.00.20 – Геомеханика, разрушение горных пород
25.00.22 – Геотехнология (подземная, открытая, строительная) 
Отрасль наук: 
технические науки

"
257,05.07.01,Аэродинамика и процессы теплообмена летательных аппаратов,p05-07-01.html,
258,05.07.02,"Проектирование, конструкция и производство летательных аппаратов",p05-07-02.html,
259,05.07.03,Прочность и тепловые режимы летательных аппаратов,p05-07-03.html,
260,05.07.05,"Тепловые, электроракетные двигатели и энергоустановки летательных аппаратов",p05-07-05.html,
261,05.07.06,"Наземные комплексы, стартовое оборудование, эксплуатация летательных аппаратов",p05-07-06.html,
262,05.07.07,Контроль и испытание летательных аппаратов и их систем,p05-07-07.html,
263,05.07.09,"Динамика, баллистика, управление движением летательных аппаратов",p05-07-09.html,
264,05.07.10,Инновационные технологии в аэрокосмической деятельности,p05-07-10.html,
265,ВАК 05.07.01,Аэродинамика и процессы теплообмена летательных аппаратов,https://teacode.com/online/vak/p05-07-01.html,"Шифр специальности:
05.07.01 Аэродинамика и процессы теплообмена летательных аппаратов
Формула специальности:
Аэродинамика и процессы теплообмена летательных аппаратов – область науки, изучающая законы обтекания объектов авиационной и ракетно-космической техники сплошными и разреженными средами, включающая разработку теоретических и экспериментальных методов исследования стационарных, нестационарных силовых и тепловых воздействий этих сред на летательные аппараты.
Области исследований:
Теоретические и экспериментальные исследования обтекания летательных аппаратов и их частей установившимися и неустановившимися потоками сплошного и разреженного газа. Расчетные и экспериментальные исследования аэродинамических характеристик летательных аппаратов и их элементов, разработка методов расчета этих характеристик, включая алгоритмы и программное обеспечение САПР летательных аппаратов. Исследования влияния сложных течений газа на аэродинамические характеристики летательных аппаратов. Управление процессами обтекания летательных аппаратов. Аэродинамический расчет органов управления полетом. Аэродинамика двигательной установки (воздухозаборники, сопла, их согласование с двигателем). Аэродинамические характеристики летательных аппаратов и нагрев поверхностей в условиях внешнего обтекания с учетом истечения струй двигательных установок. Силовое и тепловое воздействие струй двигательных установок на элементы поверхностей. Исследования воздействия летательного аппарата и аэродинамических установок на окружающую среду (следы, струи, шум, звуковой удар и др.). Разработка средств и методов экспериментальных аэродинамических и тепловых исследований (методики, установки, летные исследования). Экспериментальные и теоретические исследования силового, теплового и физико-химического взаимодействия сплошных и разреженных газообразных сред с поверхностями элементов конструкции из различных конструкционных материалов.
Смежные специальности:
01.02.05 – Механика жидкости, газа и плазмы
05.07.03 – Прочность и тепловые режимы летательных аппаратов
05.07.05 – Тепловые, электроракетные двигатели и энергетические установки летательных аппаратов
05.07.07 – Контроль и испытание летательных аппаратов и их систем
Первая из указанных специальностей составляет теоретическую базу данной специальности, обеспечивая ее сведениями о законах движения жидкости и газа и процессах, происходящих в них; вторая и третья – соприкасаются с ней при решении задач аэродинамики, требующих учета прочностных параметров и тепловых характеристик двигателей; четвертая – касается методологии проведения аэродинамических испытаний летательных аппаратов и их систем.
Отрасль наук:
технические науки "
266,ВАК 05.07.02,"Проектирование, конструкция и производство летательных аппаратов",https://teacode.com/online/vak/p05-07-02.html,"Шифр специальности:
05.07.02 Проектирование, конструкция и производство летательных аппаратов
Формула специальности:
Проектирование, конструкция и производство летательных аппаратов – область науки, занимающаяся формированием теоретических и экспериментальных основ создания новых и совершенствования существующих летательных аппаратов (ЛА), включающая:

 описание, прогнозирование, установление закономерностей, связанных с исследованием физических процессов в конструкциях, агрегатах и системах ЛА;
 разработку методов принятия обоснованных проектно-конструкторских и технологических решении для выбора состава, оптимальных параметров и организации процессов жизненного цикла ЛА, а также связи этих процессов со свойствами изделий, технико-экономическими и организационными характеристиками их производства;
 формирование для этих целей математического и программного обеспечения.
Отличительная особенность специальности заключается в том, что ее основным содержанием является системотехническое изучение вопросов проектирования, конструирования и производства объектов техники с учетом экономики и автоматизации, анализ опыта создания образцов ракетнокосмической и авиационной техники и конверсионное использование упомянутых методов и работ. Значение решения научных и технических проблем данной специальности состоит в совершенствовании теоретической, методической, экспериментальной и производственной базы, позволяющих повысить качество (надежность, ремонтопригодность, грузоподъемность и т.д.) и снизить затраты средств на разработку, производство и эксплуатацию летательных аппаратов (уменьшить металлоемкость, энергопотребление и др.). Данная область науки является комплексной, охватывающей выявление физических, химических, механических и других закономерностей с целью использования на практике наиболее эффективных и экономичных проектно-конструкторских и технологических процессов, требующих наименьших затрат времени, людских и материальных ресурсов.
Области исследований:
Разработка методов проектирования и конструирования, математического и программно-алгоритмического обеспечения для выбора оптимальных облика и параметров, компоновки и конструктивно-силовой схемы, агрегатов и систем ЛА с учетом особенностей технологии изготовления и отработки, механического и теплового нагружения, характеристик наземного комплекса и неопределенности реализации проектных решений.Разработка методов оценки и исследование организации и управления проектно-конструкторскими работами КБ с высоким уровнем применения CALS-технологий.Разработка методов поиска оптимальных конструкторско-технологических решений на ранних стадиях проектирования ЛА.Исследование и анализ способов интенсификации проектирования и модернизации существующих ЛА с учетом накопленного опыта.Создание и отработка принципиально новых конструктивных решений выполнения узлов, систем и ЛА в целом. Исследование их характеристик и оценка перспектив применения.Исследование динамики (изменения) надежности систем и ЛА в процессе жизненного цикла с целью формирования оптимального плана их отработки.Исследование влияния на технические характеристики систем и конструктивное выполнение корпуса ЛА газо- и гидродинамических процессов в проектируемой конструкции.
Разработка методов модельного и математического обеспечения для решения (исследования) функциональных задач: выбора оптимального состава ЛА с разной дальностью полета и массой полезной нагрузки;
выбора траектории полета и точности доставки груза и др.
Разработка методов, моделей и программного обеспечения для принятия оптимальных решений с целью исследования проектно-конструкторских задач при заданных ограничениях с учетом их компромиссного характера, риска и различимости сравниваемых вариантов изделий (процессов).
Исследование экономической целесообразности создания ЛА, имеющих многоцелевое назначение (например, гражданское и военное), а также эффективности использования для этих же целей существующих изделий и наземных комплексов.Технологическая подготовка производства объектов авиационной и ракетно-космической техники, включая: 

конструктивно-технологические решения, позволяющие проводить опережающую подготовку производства; технологичность конструкций;
директивные технологические материалы на производство новых конструкций летательных аппаратов, их систем и агрегатов;
системы и средства автоматизированной подготовки производства;
другие методы и средства разработки и осуществления технологических процессов производства.

Технологические процессы, специальное оборудование для изготовления деталей летательных аппаратов, включая технологию:
	
изготовления литых деталей;
изготовления деталей обработкой давлением (ковка, штамповка и др.);
изготовления деталей с помощью лучевых энергетических пучков и другими физическими и физико-химическими методами;
изготовления деталей из жидких, порошкообразных или волокнистых материалов;
изготовления деталей из неметаллических материалов, в том числе деталей теплозащиты;
нанесения покрытий;
изготовления деталей из композиционных материалов;
изготовления деталей гальванопластикой;
термической, термомеханической и химико-термической обработки деталей;
обработки металлов резанием;
изготовления деталей совмещенными и комплексными методами, в том числе в гибких производственных системах.


Технологические процессы, специальное и специализированное оборудование для сборки, монтажа и испытаний, ремонта летательных аппаратов, их систем и агрегатов, в том числе двигателей, включая технологию и средства:
			
узловой, агрегатной и общей сборки;
образования разъемных и неразъемных соединений в процессе сборки летательных аппаратов при помощи болтовых соединений, сваркой, пайкой, клепкой, склеиванием и их комбинациями, в том числе с использованием робототехнических систем;
очистки внутренних и наружных поверхностей сборочных единиц и летательных аппаратов в целом;
обеспечения чистоты рабочих жидкостей;
монтажа и испытания бортовых систем в цеховых условиях;
выполнения вновь разрабатываемых соединений, специфичных для производства летательных аппаратов.


Технологические процессы контроля, испытаний и метрологического обеспечения при производстве летательных аппаратов, их систем и агрегатов, включая технологию и средства:
				
контроля геометрических параметров;
контроля качества поверхностей;
функционального контроля и испытаний (пневмогидравлических, виброакустических, электрофизических, силовым воздействиям);
контроля физико-технических параметров;
неразрушающего контроля деталей, узлов, изделий и неразъемных соединений, а также других видов контроля;
метрологического обеспечения контролируемых показателей качества объектов производства.


Технологические процессы проектирования, программирования и информационного обеспечения при производстве летательных аппаратов, двигателей и их составных частей, включая технологию и средства:
				
автоматизированного проектирования технологических процессов и управления ими; 
математического моделирования технологических процессов; 
размерной увязки агрегатов;
контроля формы, размеров и взаимного расположения поверхностей агрегатов; 
изготовления технологических поверхностей, оснастки и деталей, в том числе на оборудовании с ЧПУ; 
контроля технологии и программ изготовления деталей и сборочных единиц.


Организация и экономика производства летательных аппаратов, включая:
			  
производственную структуру предприятия и особенности организации технологических процессов в опытном, единичном, мелкосерийном и серийном производстве;
укрупненные методы расчета материалоемкости, трудоемкости и себестоимости изделий;
методы оценки технологичности изделий;
методы расчета технико-экономической эффективности технологических процессов, оборудования и организационно-технических мероприятий.


Исследование процесса внедрения научных, технологических и технических достижений проектирования и конструирования ракетной техники и авиации в другие сферы науки, техники и технологии.

Смежные специальности:
05.02.08 – Технология машиностроения
05.02.11 – Методы контроля и диагностика в машиностроении
05.07.09 – Динамика, баллистика, управление движением летательных аппаратов
Смежные специальности не охватывают вопросов, связанных с изготовлением летательных аппаратов, представляющих собой сложные, тонкостенные, крупногабаритные конструкции, изготовляемые из дорогостоящих, труднообрабатываемых материалов, специфичных для авиационной и ракетно-космической техники. К технологии производства летательных аппаратов и их двигателей предъявляются особые требования по без дефектности, точности изготовления и сборки, снижению массы, обеспечению качества, надежности и ресурса изделий.
Отрасль наук:
технические науки 
"
267,ВАК 05.07.03,Прочность и тепловые режимы летательных аппаратов,https://teacode.com/online/vak/p05-07-03.html,"Шифр специальности:
05.07.03 Прочность и тепловые режимы летательных аппаратов
Формула специальности:
Прочность летательных аппаратов – область науки о сущности процессов обеспечения неразрушения и нормального функционирования всех силовых элементов и бортовых систем авиационной и ракетно-космической техники, включая планер, корпус, агрегаты и системы, в том числе и двигатель, а также пусковые катапультные устройства при действии статических и динамических нагрузок, характерных для всех этапов эксплуатации и применения летательного аппарата. Эта область науки является комплексной, включающей в себя как теоретические (численные и аналитические), так и экспериментальные методы, обеспечивающие создание высокопрочных конструкций при выполнении ряда зачастую противоречивых требований минимального веса, стоимости, ресурса функционирования, долговечности и стойкости к взаимодействию факторов внешней среды. Тепловые режимы летательных аппаратов – как составляющая данной специальности, включает разработку теоретических и экспериментальных методов исследования тепломассообменных процессов в конструкциях, агрегатах и системах летательных аппаратов (ЛА), выбор проектных решений и параметров с учетом тепловых режимов аппарата (тепловое проектирование ЛА), создание систем обеспечения рационального теплового состояния, решение проблем отработки и диагностики тепловых режимов ЛА. Основным содержанием данной области науки являются комплексные исследования малоизученных теплофизических процессов, сопровождающих работу ЛА, выбор теплозащитных материалов и покрытий, обоснование и выбор типа и параметров систем обеспечения теплового режима ЛА, методов диагностики и отработки теплового режима, определение и выбор рациональных в тепловом отношении схемных и компоновочных решений ЛА, а также конверсионное использование упомянутых методов и разработок. Значение решения научных и технических проблем данной специальности состоит в совершенствовании теоретической, методической, технической и экспериментальной базы, позволяющей повысить жизнестойкость, эффективность, качество, надежность, ремонтопригодность ЛА как технической системы, функционирующей в различных (как низко-, так и высокотемпературных) тепловых условиях, при одновременном снижении материалоемкости и энергопотребления систем, конструкций и устройств ЛА, обеспечивающих его рациональный тепловой режим.
Области исследований:
1. Методы определения внешних нагрузок, действующих на объекты авиационной, ракетной и космической техники, включая:

нагрузки на этапах транспортировки объектов;
нагрузки на типовых этапах боевого применения и эксплуатации;
нормирование внешних нагрузок и разработка расчетных случаев нагружения;
создание директивных материалов, определяющих нормы статического нагружения летательного аппарата на всех стадиях жизненного цикла;
разработка математических моделей внешних динамических нагрузок, действующих на летательный аппарат;
определение теплового нагружения конструкции аппарата, в том числе в полетных условиях;
вопросы комплексирования нагрузок и проблемы локализации источников внешних нагрузок;
вопросы измерения и воспроизведения нагрузок, действующих на ЛА в условиях летных и наземных испытаний.

2. Методы обеспечения статической прочности, включая:

создание аналитических методов, численных алгоритмов и программ по обеспечению прочности ЛА под действием статических и квазистатических нагрузок;
разработку расчетно-экспериментальных методов обеспечения статической прочности;
усовершенствование методов наземных испытаний на действие статических внешних нагрузок, включая методы задания нагрузок, методы измерений и обработки результатов испытаний;
создание директивных материалов, регламентирующих требования по обеспечению прочности ЛА;
разработку методов лабораторных испытаний по определению механических характеристик неметаллических материалов и деталей из композиционных материалов, в том числе деталей теплозащиты в условиях нормальных, повышенных и пониженных температур.

3. Методы обеспечения динамической прочности объектов авиационной, ракетной и космической техники, включая:

разработку аналитических методов, численных алгоритмов и программ по обеспечению динамической прочности ЛА под действием стационарных и нестационарных нагрузок;
решение задач аэро- и аэроавтоупругости; 
разработку методов натурного и полунатурного моделирования динамического состояния ЛА на всех стадиях жизненного цикла.

4. Методы и средства повышения ресурса и долговечности ЛА и его элементов, включая: 

конструкторско-технологические решения, позволяющие обеспечить повышение ресурса и долговечности;
оценки весовой отдачи конструкции; 
разработку методов расчетной оценки ресурса и долговечности; 
создание методов ускоренных испытаний;
разработку технических средств задания, измерения и обработки результатов нагружения  ЛА и его элементов, включая элементы из композиционных материалов.

5. Организация, экономика и оптимизация процессов обеспечения прочности ЛА, включая:

разработку облика и состав экспериментальных баз для оценки прочности, вибронадежности и виброустойчивости ЛА;
создание методов многокритериальной оптимизации ЛА по критериям прочности, стоимости, весовой отдачи и т.д.;
технологические процессы контроля, испытаний и метрологического обеспечения прочности ЛА, их систем и агрегатов.

6. Разработка методов теплового проектирования летательных аппаратов, включая:

создание эффективных методов математического моделирования различных тепломассообменных процессов, сопровождающих работу теплонагруженных агрегатов и систем ЛА;
выбор параметров этих систем и определение с учетом теплового режима проектного облика и компоновочного решения ЛА;
создание, испытания и отработку новых теплозащитных и теплоизоляционных материалов и покрытий; 
разработку новых методов обеспечения теплового режима ЛА, использующего на борту криогенные рабочие тела и компоненты топлива.

7. Теоретические и экспериментальные исследования теплофизических и тепломассообменных процессов в системах и агрегатах ЛА, а также при движении ЛА в различных средах, включая:

разработку методов теоретических и экспериментальных исследований, отработки и диагностики тепловых режимов в процессе создания и эксплуатации ЛА;
теоретическое обоснование, создание, эксплуатацию и модернизацию экспериментальной базы, необходимой для решения проблем обеспечения тепловых режимов ЛА;
комбинаторный анализ, диагностику и оптимизацию тепловых условий функционирования ЛА.

8. Термодинамический синтез, проектный анализ и отработку систем обеспечения теплового режима ЛА как технической системы, включая:

исследование и анализ закономерностей, разработку способов интенсификации процессов теплообмена в агрегатах, системах и устройствах ЛА;
разработку научных основ функционирования многоуровневых систем обеспечения теплового режима энергоемких ЛА;
разработку новых методов тепловой защиты ЛА, работающих в экстремальных тепловых условиях;
внедрение научных, технологических и технических достижений в области исследования и отработки тепловых режимов ЛА в другие сферы науки, техники и технологии.

Смежные специальности:
01.02.06 – Динамика, прочность машин, приборов, аппаратуры
05.02.02 – Машиноведение, системы приводов и детали машин
05.07.01 – Аэродинамика и процессы теплообмена летательных аппаратов
Смежные специальности не охватывают вопросов, связанных с оценкой прочности летательных аппаратов, представляющих собой сложные, тонкостенные, крупногабаритные, зачастую уникальные конструкции, изготовленные из дорогостоящих материалов, характерных для авиационной и ракетно-космической техники. Кроме того, к прочности и теплонагруженности летательных аппаратов и их двигателей предъявляются особые требования, связанные с низкими коэффициентами запасов прочности, снижением массы и сверхжесткими условиями нагружения. Специальность 05.07.01 в части раздела «процессы теплообмена ЛА» составляет, отчасти, теоретическую базу данной специальности, обеспечивая ее сведениями о тепломассообменных процессах, обусловливаемых взаимодействием ЛА, его агрегатов и систем с внешней средой.
Отрасль наук:
технические науки "
